Channel_cebp,Channel_dapi,Channel_ppar,Count_nuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensity,ExecutionTime_09MeasureObjectSizeShape,FileName_cebp,FileName_dapi,FileName_ppar,Frame_cebp,Frame_dapi,Frame_ppar,Group_Index,Group_Number,Height_cebp,Height_dapi,Height_ppar,ImageNumber,ImageSet_ImageSet,MD5Digest_cebp,MD5Digest_dapi,MD5Digest_ppar,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_Well,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_08MeasureObjectIntensity,ModuleError_09MeasureObjectSizeShape,PathName_cebp,PathName_dapi,PathName_ppar,ProcessingStatus,Scaling_cebp,Scaling_dapi,Scaling_ppar,Series_cebp,Series_dapi,Series_ppar,Threshold_FinalThreshold_nuclei,Threshold_OrigThreshold_nuclei,Threshold_SumOfEntropies_nuclei,Threshold_WeightedVariance_nuclei,URL_cebp,URL_dapi,URL_ppar,Width_cebp,Width_dapi,Width_ppar
-1,-1,-1,152.0,0,0,6.171875,0,63.59375,38.484375,157.96875,img173-c2-1.tiff,img173-c1-1.tiff,img173-c3-1.tiff,0,0,0,1,1,3770,3770,3770,1,eLsv04xgGy3DR0eHBk3AjY4OkT06RLWAA+VcOwDxvj/Z,9fbbfd8d650f6f143b632bc9cd94bf2b,f037d13f845069a9fb2965f9b7c3c1d6,8c2883848413e87759dedb804263f06c,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.05920179886743426,0.05920179886743426,-12.129264669839717,0.22592237568050746,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c2-1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c1-1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c3-1.tiff,7538,7538,7538
-1,-1,-1,164.0,0,0,7.15625,0,70.15625,53.921875,213.5,img173-c2-2.tiff,img173-c1-2.tiff,img173-c3-2.tiff,0,0,0,2,1,3771,3771,3771,2,eLsv04xgGy3DaTE6RIPyadiV4lhHh0YLdjJHh6gWcKCcawcA9lM/3A==,9b794adc31f8c4367d2b47b901ba5e44,d37f054661405ef4269b0131251080bd,5f4632198a117303c4bc67f2be349619,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.06518248049542308,0.06518248049542308,-11.959094684883778,0.2850279227468684,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c2-2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c1-2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c3-2.tiff,7538,7538,7538
-1,-1,-1,304.0,0,0,11.171875,0,154.8125,131.875,362.46875,img173-c2.tiff,img173-c1.tiff,img173-c3.tiff,0,0,0,3,1,7541,7541,7541,3,eLsv04xgGy3DRzuVgyTYRgt18kaGqBVsoDxrBwCK6T6/,1e76dc4bf2ad9ca3519020b564fc238a,80b806cf346432ff24250efe130b1e21,1d9780dc63aff84cf596fbfaf27407d8,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.06329813553020358,0.06329813553020358,-11.851411279100537,0.25832303987927635,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c3.tiff,7538,7538,7538
-1,-1,-1,139.0,0,0,7.640625,0,70.75,49.234375,216.59375,img174-c2-1.tiff,img174-c1-1.tiff,img174-c3-1.tiff,0,0,0,4,1,3769,3769,3769,4,eLsv04xgGy3DadFyHi3FyQq40dEhMgPOmHoBB8q5dgD2Yj/c,03cc8568c74f4fc3bc4310ffa8b8edb7,4e32512203d2f14e6296d0f9b981e997,4fd8d2005bcf50cf3f01ed85eef09645,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.039230728638358414,0.039230728638358414,-12.242425329293132,0.229046668798566,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c2-1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c1-1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c3-1.tiff,7537,7537,7537
-1,-1,-1,166.0,0,0,7.578125,0,72.140625,49.875,216.078125,img174-c2-2.tiff,img174-c1-2.tiff,img174-c3-2.tiff,0,0,0,5,1,3769,3769,3769,5,eLsv04xgGy3Dh0jLediV4lgCzogWATcMC3aMgDOmXsCBcq4dAPr3P98=,fd55d7fdeecc92117c7901b70d5d9d42,d1ca7852c45d7f32f909b9f5ecabae3b,07aeaba2f18cfecc271f3a5474162112,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04513762053102255,0.04513762053102255,-12.187920730082327,0.28922504852830183,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c2-2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c1-2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c3-2.tiff,7537,7537,7537
-1,-1,-1,297.0,0,0,10.765625,0,152.671875,115.78125,347.125,img174-c2.tiff,img174-c1.tiff,img174-c3.tiff,0,0,0,6,1,7538,7538,7538,6,eLsv04xgGy3DadByHi3DyQm20UKdrGAzplawgfKsHQCPgT7C,cc00f36053ba051875454f9a47a2b134,47a22d8aae677ea66d82b2011b483b6d,8b9394400e7ddc3dc685bd5c64660c2c,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04274951573461294,0.04274951573461294,-12.129525688453654,0.26526127581401193,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c3.tiff,7537,7537,7537
-1,-1,-1,131.0,0,0,7.140625,0,68.84375,42.078125,201.6875,img175-c2-1.tiff,img175-c1-1.tiff,img175-c3-1.tiff,0,0,0,7,1,3757,3757,3757,7,eLsv04xgGy3DR1tigybgRkeHyG2KUS/gQDnXDgD7Bj/f,eb3bc10f67904d3d47f1e021e3b9a24e,34d00cd9c9971bf760f0cd96540b202a,15438da94a35cff72a0bc1d3fa10b4b1,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04944210941903293,0.04944210941903293,-12.3122586455839,0.2954128552450347,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c2-1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c1-1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c3-1.tiff,7530,7530,7530
-1,-1,-1,125.0,0,0,7.40625,0,70.90625,42.828125,207.609375,img175-c2-2.tiff,img175-c1-2.tiff,img175-c3-2.tiff,0,0,0,8,1,3758,3758,3758,8,eLsv04xgGy3DadESo0H5NOxKcawtsdGCnbymGPUCDpRz7QD/mz/i,22cd7c7743bb7ccaae837743610f449d,c05035a086294559da777f9dc1978a7c,bb42d31c31fd0d28301ebbf11da9ce64,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04288156516849995,0.04288156516849995,-12.113019018674082,0.23450911842762837,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c2-2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c1-2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c3-2.tiff,7530,7530,7530
-1,-1,-1,253.0,0,0,10.6875,0,142.265625,93.28125,349.640625,img175-c2.tiff,img175-c1.tiff,img175-c3.tiff,0,0,0,9,1,7515,7515,7515,9,eLsv04xgGy3DR8vwQRJso4U6ec0wagUbKM/aAQCUGT7F,c77adcdad3317ff63ad896cf2ecb0a18,cec24445742af6839b6140f1dce82c25,29e759efd2c95cd19e6f82884f5f9818,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04649736802093685,0.04649736802093685,-12.251381797256705,0.26926473559290615,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c3.tiff,7530,7530,7530
-1,-1,-1,149.0,0,0,7.984375,0,79.140625,48.78125,223.34375,img172-c2.tiff,img172-c1.tiff,img172-c3.tiff,0,0,0,10,1,5704,5704,5704,10,eLsv04xgGy3DqZwkR4tw8kJttEgnJ9SMqRVqoAxrBwB5gj5B,e78b217b21d0ea8afc0ffc66a5406d7e,950176be18d3e285b35a9ef69dc5019c,6e64f0a79cd452a1b7a8b3a8f61ba676,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Done,65535,65535,65535,0,0,0,0.04456441244110465,0.04456441244110465,-11.924249058336613,0.192942769368032,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img172-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img172-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img172-c3.tiff,5692,5692,5692
-1,-1,-1,140.0,0,0,8.046875,0,82.234375,45.6875,235.265625,img1721-c2.tiff,img1721-c1.tiff,img1721-c3.tiff,0,0,0,11,1,5720,5720,5720,11,eLsv04xgGy3Dh0SSHHZlOJZgGy3UyQo2Y2oFGyjP2gEAsyQ+1A==,29bfff5fb7d3f785fe185f2e901923eb,906455d8d3c5070963f7d363fdc1f714,d700740da5b060568cd3c5e476528394,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Done,65535,65535,65535,0,0,0,0.04660577932372689,0.04660577932372689,-11.453899923628114,0.23462741955364141,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img1721-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img1721-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img1721-c3.tiff,5702,5702,5702
