Channel_cebp,Channel_dapi,Channel_ppar,Count_nuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06ConvertObjectsToImage,ExecutionTime_08MeasureObjectIntensity,ExecutionTime_09MeasureObjectSizeShape,FileName_cebp,FileName_dapi,FileName_ppar,Frame_cebp,Frame_dapi,Frame_ppar,Group_Index,Group_Number,Height_cebp,Height_dapi,Height_ppar,ImageNumber,ImageSet_ImageSet,MD5Digest_cebp,MD5Digest_dapi,MD5Digest_ppar,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_Well,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06ConvertObjectsToImage,ModuleError_08MeasureObjectIntensity,ModuleError_09MeasureObjectSizeShape,PathName_cebp,PathName_dapi,PathName_ppar,ProcessingStatus,Scaling_cebp,Scaling_dapi,Scaling_ppar,Series_cebp,Series_dapi,Series_ppar,Threshold_FinalThreshold_nuclei,Threshold_OrigThreshold_nuclei,Threshold_SumOfEntropies_nuclei,Threshold_WeightedVariance_nuclei,URL_cebp,URL_dapi,URL_ppar,Width_cebp,Width_dapi,Width_ppar
-1,-1,-1,27.0,0,0,5.75,0,16.265625,5.328125,10.515625,54.078125,img1813-c2.tiff,img1813-c1.tiff,img1813-c3.tiff,0,0,0,12,1,2048,2048,2048,12,eLvF0GkKGy28qdumMh4tvMkLtdHinJxQM6ZWqIEyrB0AZ9w+Mg==,21e592ec312f7ed9d71a0e3a704a88b4,b9eb2989cad9b4abbcab6fd0f1643ec1,e7798e0725e2d98e712426cede0b44ea,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.059440488810651004,0.059440488810651004,-12.598296987365725,0.467837128196237,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1813-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1813-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1813-c3.tiff,2048,2048,2048
-1,-1,-1,30.0,0,0,6.328125,0,18.03125,5.296875,9.78125,52.65625,img1814-c2.tiff,img1814-c1.tiff,img1814-c3.tiff,0,0,0,13,1,2048,2048,2048,13,eLvF0GkKGy28R9tUgyLURotzckLNmFqhBsqwdgBscT41,be1349cb31e368564a6addf0573326ba,13d60acee9d5d4a5e7a5ea1fe8186011,5fd3a1446af1455045268f83d1f6de39,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.04851226008031517,0.04851226008031517,-12.435120632307978,0.4794382122527452,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1814-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1814-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1814-c3.tiff,2048,2048,2048
-1,-1,-1,39.0,0,0,6.21875,0,16.609375,5.546875,13.15625,56.78125,img1815-c2.tiff,img1815-c1.tiff,img1815-c3.tiff,0,0,0,14,1,2048,2048,2048,14,eLvF0GkKGy28qdumMh0tvMkLtdHinJxQM6ZWqIEyrB0AcQY+OA==,24d7fecf50deb250df5ac792e8f5baca,a66be3a81c4ccf7724904e48e4a44f7c,8c3b749213e3b47b3d4d6e01afe783aa,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.06573189399205148,0.06573189399205148,-12.37730316391516,0.39486356476240303,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1815-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1815-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1815-c3.tiff,2048,2048,2048
-1,-1,-1,20.0,0,0,6.40625,0,16.796875,4.96875,8.421875,49.53125,img1816-c2.tiff,img1816-c1.tiff,img1816-c3.tiff,0,0,0,15,1,2048,2048,2048,15,eLvF0GkKGy28qdumMhstvMkLtdHinJxQM6ZWqIEyrB0AdZs+Ow==,da31ea43466b88b0c2ea77d2b0e23662,0efc3d9a0a5e0e83a0ac30478ed382e2,dd7cb69d401e3466d3d9d65766cde4e2,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.046105651068501174,0.046105651068501174,-12.460938798588327,0.3116352812289165,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1816-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1816-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1816-c3.tiff,2048,2048,2048
-1,-1,-1,21.0,0,0,5.96875,0,17.8125,4.921875,7.453125,49.6875,img1821-c2.tiff,img1821-c1.tiff,img1821-c3.tiff,0,0,0,16,1,2048,2048,2048,16,eLvF0GkKGy28qdqmAqXG0cKbnFAbLc7JCTVjaoUaKMPaAQBjSj4v,aa1458aabed6a988ea717072f0b29a38,3264bff5f3b6e7414c9f57917c547ce9,fd96fabeb73c819a338cae7fdc685294,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.04268964158836752,0.04268964158836752,-12.70645817465411,0.4654033576622112,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1821-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1821-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1821-c3.tiff,2048,2048,2048
-1,-1,-1,30.0,0,0,6.03125,0,17.046875,5.34375,10.140625,53.421875,img1822-c2.tiff,img1822-c1.tiff,img1822-c3.tiff,0,0,0,17,1,2048,2048,2048,17,eLvF0GkKGy28qdqmMhotvMkMtdHinJxQM6ZWqIEyrB0AZ98+Mg==,f0e2ac926fb822bcc672c0bfe338bee8,63affc2481486d47a9e80874ed5c7b40,fce9910d6e0923639a1e69a19ebcf170,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.06066117784939706,0.06066117784939706,-11.916426623660477,0.6540205687966534,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1822-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1822-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1822-c3.tiff,2048,2048,2048
-1,-1,-1,27.0,0,0,6.140625,0,16.8125,5.265625,11.140625,55.953125,img1823-c2.tiff,img1823-c1.tiff,img1823-c3.tiff,0,0,0,18,1,2048,2048,2048,18,eLvF0GkKGy28qdqmMjIeLbzJC7XR4pycUDOmVqiBMqwdAGx0PjU=,1cbf958ae38a8b2a09ee69f19cb178d5,34a04202e95ac2f891384735536fc207,db4de9c4dc07b9692c68600d6ea84439,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.051490791724063456,0.051490791724063456,-12.253919095307875,0.647777848231101,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1823-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1823-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1823-c3.tiff,2048,2048,2048
-1,-1,-1,41.0,0,0,6.609375,0,17.109375,5.171875,9.40625,48.3125,img1852-c2.tiff,img1852-c1.tiff,img1852-c3.tiff,0,0,0,19,1,2048,2048,2048,19,eLvF0GkKGy28RwvvQRFqo8U5OaFmTK1QA2VYOwB/PT5B,40d467c3e3e6fd171da8c04caf9c4c19,e4e1ab425536fa59ec1984c5f87f7531,65ea19cf409b3c5079ebd055fd7c40d0,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.0868208461906761,0.0868208461906761,-12.764728006064942,0.41240302131505047,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1852-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1852-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1852-c3.tiff,2048,2048,2048
-1,-1,-1,25.0,0,0,6.359375,0,17.6875,5.421875,10.640625,56.5625,img1853-c2.tiff,img1853-c1.tiff,img1853-c3.tiff,0,0,0,20,1,2048,2048,2048,20,eLvF0GkKGy28qVt4G48W3uSF2mhxTk6oGVMr1EAZ1g4Ag9I+RA==,90dac744b4278375bf8a345542463621,dbf37e3eba7ed3ed8fa830904a0e85aa,e5fdc5d55eddbf1b3583bcae3a58cbba,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.07374068768694997,0.07374068768694997,-13.041662247935939,0.42244602491967953,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1853-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1853-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1853-c3.tiff,2048,2048,2048
-1,-1,-1,43.0,0,0,6.546875,0,17.828125,5.71875,13.734375,54.421875,img1854-c2.tiff,img1854-c1.tiff,img1854-c3.tiff,0,0,0,21,1,2048,2048,2048,21,eLvF0GkKGy28qVt4j7apyAy10eKcnFAzplaogTKsHQCIZz5H,8d489809b5b5fd1003f8e573d28bffa8,0009230fd110fd8193dbb25faa191591,2f2815ed0cdf116990c1ceada9c2d9f8,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.06473030452616513,0.06473030452616513,-12.81705749165444,0.3854034498188028,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1854-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1854-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1854-c3.tiff,2048,2048,2048
-1,-1,-1,37.0,0,0,6.859375,0,15.484375,5.4375,13.25,51.5,img1855-c2.tiff,img1855-c1.tiff,img1855-c3.tiff,0,0,0,22,1,2048,2048,2048,22,eLvF0GkKGy28qVt4m44W3uSF2mhxTk6oGVMr1EAZ1g4AjPw+Sg==,9c4961c086604da5452e848cb5019ae6,8472cfda241e408519b1a98e7e9b31b9,9c7686d578f299586b193402f87798d2,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.051099372445605695,0.051099372445605695,-12.632452544776859,0.4328003572767116,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1855-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1855-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1855-c3.tiff,2048,2048,2048
-1,-1,-1,48.0,0,0,6.546875,0,16.3125,5.8125,12.15625,55.734375,img1857-c2.tiff,img1857-c1.tiff,img1857-c3.tiff,0,0,0,23,1,2048,2048,2048,23,eLvF0GkKGy28qVt4m48W3uSF2mhxTk6oGVMr1EAZ1g4AliY+UA==,98c4811ffcee9c9f3bcde07b789b795f,479c3dfaf2fe8ab60581849138ee17d8,db675bafef818eb1e97ac62c57bb9a65,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.0437980848364532,0.0437980848364532,-12.457619177348509,0.42869775543623945,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1857-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1857-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4d/8kb_imgs/img1857-c3.tiff,2048,2048,2048
-1,-1,-1,149.0,0,0,11.28125,0,116.171875,19.296875,42.4375,187.90625,img172-c2.tiff,img172-c1.tiff,img172-c3.tiff,0,0,0,24,1,5704,5704,5704,24,eLvF0GkKGy28qZwcRwtv8kJttDgnJ9SMqRVqoAxrBwB5gj5B,e78b217b21d0ea8afc0ffc66a5406d7e,950176be18d3e285b35a9ef69dc5019c,6e64f0a79cd452a1b7a8b3a8f61ba676,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Done,65535,65535,65535,0,0,0,0.04456441244110465,0.04456441244110465,-11.924249058336613,0.192942769368032,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img172-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img172-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img172-c3.tiff,5692,5692,5692
-1,-1,-1,140.0,0,0,5.71875,0,122.5625,19.640625,40.703125,207.15625,img1721-c2.tiff,img1721-c1.tiff,img1721-c3.tiff,0,0,0,25,1,5720,5720,5720,25,eLvF0GkKGy28qZ8cR0tvsoJttEAnK9iMqRVsoDxrBwCzJD7U,29bfff5fb7d3f785fe185f2e901923eb,906455d8d3c5070963f7d363fdc1f714,d700740da5b060568cd3c5e476528394,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\64kb_imgs,Done,65535,65535,65535,0,0,0,0.04660577932372689,0.04660577932372689,-11.453899923628114,0.23462741955364141,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img1721-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img1721-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/64kb_imgs/img1721-c3.tiff,5702,5702,5702
